x,t,u
4.3791897595494085,0.126,-0.9770342827564238
4.3791897595494085,0.127,-0.977233829453761
4.3791897595494085,0.128,-0.9774324334326681
4.3791897595494085,0.129,-0.9776300931045465
4.3791897595494085,0.13,-0.9778268068923152
4.3791897595494085,0.131,-0.9780225732304615
4.3791897595494085,0.132,-0.9782173905650927
4.3791897595494085,0.133,-0.9784112573539867
4.3791897595494085,0.134,-0.9786041720666422
4.3791897595494085,0.135,-0.9787961331843287
4.3791897595494085,0.136,-0.9789871392001358
4.3791897595494085,0.137,-0.9791771886190223
4.3791897595494085,0.138,-0.9793662799578643
4.3791897595494085,0.139,-0.9795544117455036
4.3791897595494085,0.14,-0.9797415825227952
4.3791897595494085,0.14100000000000001,-0.9799277908426542
4.3791897595494085,0.14200000000000002,-0.9801130352701027
4.3791897595494085,0.14300000000000002,-0.9802973143823157
4.3791897595494085,0.14400000000000002,-0.9804806267686668
4.3791897595494085,0.145,-0.9806629710307733
4.3791897595494085,0.146,-0.9808443457825413
4.3791897595494085,0.147,-0.9810247496502096
4.3791897595494085,0.148,-0.9812041812723932
4.3791897595494085,0.149,-0.9813826393001269
4.3791897595494085,0.15,-0.981560122396908
4.3791897595494085,0.151,-0.9817366292387383
4.3791897595494085,0.152,-0.9819121585141658
4.3791897595494085,0.153,-0.9820867089243263
4.3791897595494085,0.154,-0.9822602791829835
4.3791897595494085,0.155,-0.9824328680165698
4.3791897595494085,0.156,-0.9826044741642256
4.3791897595494085,0.157,-0.9827750963778382
4.3791897595494085,0.158,-0.9829447334220812
4.3791897595494085,0.159,-0.9831133840744518
4.3791897595494085,0.16,-0.983281047125309
4.3791897595494085,0.161,-0.9834477213779099
4.3791897595494085,0.162,-0.9836134056484471
4.3791897595494085,0.163,-0.983778098766084
4.3791897595494085,0.164,-0.9839417995729905
4.3791897595494085,0.165,-0.9841045069243779
4.3791897595494085,0.166,-0.9842662196885331
4.3791897595494085,0.167,-0.9844269367468524
4.3791897595494085,0.168,-0.9845866569938752
4.3791897595494085,0.169,-0.9847453793373159
4.3791897595494085,0.17,-0.9849031026980969
4.3791897595494085,0.171,-0.9850598260103794
4.3791897595494085,0.17200000000000001,-0.9852155482215953
4.3791897595494085,0.17300000000000001,-0.9853702682924768
4.3791897595494085,0.17400000000000002,-0.9855239851970868
4.3791897595494085,0.17500000000000002,-0.9856766979228484
4.3791897595494085,0.176,-0.9858284054705732
4.3791897595494085,0.177,-0.9859791068544898
4.3791897595494085,0.178,-0.9861288011022715
4.3791897595494085,0.179,-0.9862774872550635
4.3791897595494085,0.18,-0.9864251643675088
4.3791897595494085,0.181,-0.9865718315077749
4.3791897595494085,0.182,-0.9867174877575787
4.3791897595494085,0.183,-0.9868621322122112
4.3791897595494085,0.184,-0.9870057639805621
4.3791897595494085,0.185,-0.987148382185143
4.3791897595494085,0.186,-0.9872899859621107
4.3791897595494085,0.187,-0.9874305744612897
4.3791897595494085,0.188,-0.9875701468461936
4.3791897595494085,0.189,-0.987708702294047
4.3791897595494085,0.19,-0.9878462399958056
4.3791897595494085,0.191,-0.9879827591561768
4.3791897595494085,0.192,-0.9881182589936391
4.3791897595494085,0.193,-0.9882527387404607
4.3791897595494085,0.194,-0.9883861976427181
4.3791897595494085,0.195,-0.9885186349603136
4.3791897595494085,0.196,-0.9886500499669928
4.3791897595494085,0.197,-0.9887804419503609
4.3791897595494085,0.198,-0.9889098102118986
4.3791897595494085,0.199,-0.9890381540669777
4.442656277803748,0.0,-0.9638421585599422
4.442656277803748,0.001,-0.9640915866350279
4.442656277803748,0.002,-0.9643402275508837
4.442656277803748,0.003,-0.9645880790937688
4.442656277803748,0.004,-0.9648351390562023
4.442656277803748,0.005,-0.9650814052370321
4.442656277803748,0.006,-0.9653268754415039
4.442656277803748,0.007,-0.9655715474813296
4.442656277803748,0.008,-0.965815419174757
4.442656277803748,0.009000000000000001,-0.9660584883466379
4.442656277803748,0.01,-0.966300752828497
4.442656277803748,0.011,-0.9665422104586008
4.442656277803748,0.012,-0.9667828590820252
4.442656277803748,0.013000000000000001,-0.9670226965507249
4.442656277803748,0.014,-0.9672617207236013
4.442656277803748,0.015,-0.9674999294665706
4.442656277803748,0.016,-0.967737320652632
4.442656277803748,0.017,-0.9679738921619357
4.442656277803748,0.018000000000000002,-0.9682096418818511
4.442656277803748,0.019,-0.9684445677070338
4.442656277803748,0.02,-0.9686786675394939
4.442656277803748,0.021,-0.9689119392886633
4.442656277803748,0.022,-0.9691443808714628
4.442656277803748,0.023,-0.96937599021237
4.442656277803748,0.024,-0.9696067652434855
4.442656277803748,0.025,-0.9698367039046006
4.442656277803748,0.026000000000000002,-0.9700658041432637
4.442656277803748,0.027,-0.9702940639148468
4.442656277803748,0.028,-0.9705214811826126
4.442656277803748,0.029,-0.9707480539177801
4.442656277803748,0.03,-0.9709737800995909
4.442656277803748,0.031,-0.9711986577153756
4.442656277803748,0.032,-0.971422684760619
4.442656277803748,0.033,-0.971645859239026
4.442656277803748,0.034,-0.971868179162587
4.442656277803748,0.035,-0.9720896425516431
4.442656277803748,0.036000000000000004,-0.972310247434951
4.442656277803748,0.037,-0.9725299918497478
4.442656277803748,0.038,-0.9727488738418159
4.442656277803748,0.039,-0.972966891465547
4.442656277803748,0.04,-0.9731840427840068
4.442656277803748,0.041,-0.9734003258689983
4.442656277803748,0.042,-0.973615738801126
4.442656277803748,0.043000000000000003,-0.9738302796698591
4.442656277803748,0.044,-0.9740439465735954
4.442656277803748,0.045,-0.9742567376197234
4.442656277803748,0.046,-0.9744686509246859
4.442656277803748,0.047,-0.9746796846140421
4.442656277803748,0.048,-0.9748898368225299
4.442656277803748,0.049,-0.9750991056941284
4.442656277803748,0.05,-0.9753074893821189
4.442656277803748,0.051000000000000004,-0.975514986049147
4.442656277803748,0.052000000000000005,-0.9757215938672839
4.442656277803748,0.053,-0.9759273110180867
4.442656277803748,0.054,-0.9761321356926601
4.442656277803748,0.055,-0.9763360660917157
4.442656277803748,0.056,-0.9765391004256332
4.442656277803748,0.057,-0.9767412369145192
4.442656277803748,0.058,-0.9769424737882675
4.442656277803748,0.059000000000000004,-0.9771428092866179
4.442656277803748,0.06,-0.9773422416592155
4.442656277803748,0.061,-0.9775407691656689
4.442656277803748,0.062,-0.9777383900756089
4.442656277803748,0.063,-0.9779351026687463
4.442656277803748,0.064,-0.9781309052349293
4.442656277803748,0.065,-0.9783257960742014
4.442656277803748,0.066,-0.9785197734968581
4.442656277803748,0.067,-0.9787128358235035
4.442656277803748,0.068,-0.9789049813851068
4.442656277803748,0.069,-0.9790962085230583
4.442656277803748,0.07,-0.9792865155892249
4.442656277803748,0.07100000000000001,-0.9794759009460053
